Symbol,Date,Open,Low,High,Close,Volume,Close-Open
AAPL,8/17/2017,160.52,157.84,160.71,157.86,27940565,-2.66
AAPL,8/18/2017,157.86,156.72,159.5,157.5,27428069,-0.36
AAPL,8/21/2017,157.5,155.1101,157.89,157.21,26368528,-0.29
AAPL,8/22/2017,158.23,158.02,160,159.78,21604585,1.55
AAPL,8/23/2017,159.07,158.88,160.47,159.98,19399081,0.91
AAPL,8/24/2017,160.43,158.55,160.74,159.27,19818918,-1.16
AAPL,8/25/2017,159.65,159.27,160.56,159.86,25480063,0.21
AAPL,8/28/2017,160.14,159.93,162,161.47,25965972,1.33
AAPL,8/29/2017,160.1,160,163.12,162.91,29516910,2.81
AAPL,8/30/2017,163.8,162.61,163.89,163.35,27269584,-0.45
AAPL,8/31/2017,163.64,163.48,164.52,164,26785096,0.36
AAPL,9/01/2017,164.8,163.63,164.94,164.05,16591051,-0.75
AAPL,9/04/2017,164.05,164.05,164.05,164.05,0,0
AAPL,9/05/2017,163.75,160.56,164.25,162.08,29536314,-1.67
AAPL,9/06/2017,162.71,160.52,162.99,161.91,21651726,-0.8
AAPL,9/07/2017,162.09,160.36,162.24,161.26,21928502,-0.83
AAPL,9/08/2017,160.86,158.53,161.15,158.63,28611535,-2.23
AAPL,9/11/2017,160.5,159.89,162.05,161.5,31580798,1
AAPL,9/12/2017,162.61,158.77,163.96,160.86,71714046,-1.75
AAPL,9/13/2017,159.87,157.91,159.96,159.65,44907361,-0.22
AAPL,9/14/2017,158.99,158.09,159.4,158.28,23760749,-0.71
AAPL,9/15/2017,158.47,158,160.97,159.88,49114602,1.41
AAPL,9/18/2017,160.11,157.995,160.5,158.67,28269435,-1.44
AAPL,9/19/2017,159.51,158.44,159.77,158.73,20810632,-0.78
AAPL,9/20/2017,157.9,153.83,158.26,156.07,52951364,-1.83
AAPL,9/21/2017,155.8,152.75,155.8,153.39,37511661,-2.41
AAPL,9/22/2017,152.02,150.56,152.27,151.89,46645443,-0.13
AAPL,9/25/2017,149.99,149.16,151.83,150.55,44387336,0.56
AAPL,9/26/2017,151.78,151.69,153.92,153.14,36660045,1.36
AAPL,9/27/2017,153.8,153.54,154.7189,154.23,25504227,0.43
AAPL,9/28/2017,153.89,152.7,154.28,153.28,22005455,-0.61
AAPL,9/29/2017,153.21,152,154.13,154.12,26299810,0.91
AAPL,10/02/2017,154.26,152.72,154.45,153.81,18698842,-0.45
AAPL,10/03/2017,154.01,153.91,155.09,154.48,16230293,0.47
AAPL,10/04/2017,153.63,152.46,153.86,153.48,20163750,-0.15
AAPL,10/05/2017,154.18,154.05,155.44,155.39,21283769,1.21
AAPL,10/06/2017,154.97,154.56,155.49,155.3,17407558,0.33
AAPL,10/09/2017,155.81,155.485,156.73,155.84,16262923,0.03
AAPL,10/10/2017,156.055,155.1,158,155.9,15617014,-0.155
AAPL,10/11/2017,155.97,155.75,156.98,156.55,16905640,0.58
AAPL,10/12/2017,156.35,155.7299,157.37,156,16125053,-0.35
AAPL,10/13/2017,156.73,156.41,157.28,156.99,16394188,0.26
AAPL,10/16/2017,157.9,157.65,160,159.88,24121452,1.98
AAPL,10/17/2017,159.78,159.23,160.87,160.47,18997275,0.69
AAPL,10/18/2017,160.42,159.6,160.71,159.76,16374164,-0.66
AAPL,10/19/2017,156.75,155.02,157.08,155.98,42584166,-0.77
AAPL,10/20/2017,156.61,155.96,157.75,156.25,23974146,-0.36
AAPL,10/23/2017,156.89,155.5,157.69,156.17,21984327,-0.72
AAPL,10/24/2017,156.29,156.2,157.42,157.1,17757230,0.81
AAPL,10/25/2017,156.91,155.27,157.55,156.41,21207098,-0.5
AAPL,10/26/2017,157.23,156.78,157.8295,157.41,17000469,0.18
AAPL,10/27/2017,159.29,158.7,163.6,163.05,44454160,3.76
AAPL,10/30/2017,163.89,163.72,168.07,166.72,44700772,2.83
AAPL,10/31/2017,167.9,166.94,169.6499,169.04,36046828,1.14
AAPL,11/01/2017,169.87,165.61,169.94,166.89,33637762,-2.98
AAPL,11/02/2017,167.64,165.28,168.5,168.11,41393373,0.47
AAPL,11/03/2017,174,171.12,174.26,172.5,59398631,-1.5
AAPL,11/06/2017,172.365,171.72,174.99,174.25,35026306,1.885
AAPL,11/07/2017,173.91,173.6,175.25,174.81,24361485,0.9
AAPL,11/08/2017,174.66,174.33,176.24,176.24,24409527,1.58
AAPL,11/09/2017,175.11,173.14,176.095,175.88,29482596,0.77
AAPL,11/10/2017,175.11,174.27,175.38,174.67,25145500,-0.44
AAPL,11/13/2017,173.5,173.4,174.5,173.97,16982080,0.47
AAPL,11/14/2017,173.04,171.18,173.48,171.34,24782487,-1.7
AAPL,11/15/2017,169.97,168.38,170.3197,169.08,29158070,-0.89
AAPL,11/16/2017,171.18,170.3,171.87,171.1,23637484,-0.08
AAPL,11/17/2017,171.04,169.64,171.39,170.15,21899544,-0.89
AAPL,11/20/2017,170.29,169.56,170.56,169.98,16262447,-0.31
AAPL,11/21/2017,170.78,170.78,173.7,173.14,25131295,2.36
AAPL,11/22/2017,173.36,173.05,175,174.96,25588925,1.6
AAPL,11/23/2017,174.96,174.96,174.96,174.96,0,0
AAPL,11/24/2017,175.1,174.6459,175.5,174.97,14026673,-0.13
AAPL,11/27/2017,175.05,173.34,175.08,174.09,20716802,-0.96
AAPL,11/28/2017,174.3,171.86,174.87,173.07,26428802,-1.23
AAPL,11/29/2017,172.63,167.16,172.92,169.48,41666364,-3.15
AAPL,11/30/2017,170.43,168.44,172.14,171.85,41527218,1.42
AAPL,12/01/2017,169.95,168.5,171.67,171.05,39759288,1.1
AAPL,12/04/2017,172.48,169.63,172.62,169.8,32542385,-2.68
AAPL,12/05/2017,169.06,168.4,171.52,169.64,27350154,0.58
AAPL,12/06/2017,167.5,166.46,170.2047,169.01,28560000,1.51
AAPL,12/07/2017,169.03,168.91,170.44,169.32,25673308,0.29
AAPL,12/08/2017,170.49,168.82,171,169.37,23355231,-1.12
AAPL,12/11/2017,169.2,168.79,172.89,172.67,35273759,3.47
AAPL,12/12/2017,172.15,171.461,172.39,171.7,19409230,-0.45
AAPL,12/13/2017,172.5,172,173.54,172.27,23818447,-0.23
AAPL,12/14/2017,172.4,171.65,173.13,172.22,20476541,-0.18
AAPL,12/15/2017,173.63,172.46,174.17,173.97,40169307,0.34
AAPL,12/18/2017,174.88,174.86,177.2,176.42,29421114,1.54
AAPL,12/19/2017,175.03,174.09,175.39,174.54,27436447,-0.49
AAPL,12/20/2017,174.87,173.25,175.42,174.35,23475649,-0.52
AAPL,12/21/2017,174.17,174.1,176.02,175.01,20949896,0.84
AAPL,12/22/2017,174.68,174.5,175.424,175.01,16349443,0.33
AAPL,12/25/2017,175.01,175.01,175.01,175.01,0,0
AAPL,12/26/2017,170.8,169.679,171.47,170.57,33185536,-0.23
AAPL,12/27/2017,170.1,169.71,170.78,170.6,21498213,0.5
AAPL,12/28/2017,171,170.48,171.85,171.08,16480187,0.08
AAPL,12/29/2017,170.52,169.22,170.59,169.23,25999922,-1.29
