Symbol,Date,Open,Low,High,Close,Volume
AAPL,2017-07-04,143.5,143.5,143.5,143.5,0
AAPL,2017-07-05,143.69,142.7237,144.79,144.09,21569557
AAPL,2017-07-06,143.02,142.41,143.5,142.73,24128782
AAPL,2017-07-07,142.9,142.9,144.75,144.18,19201712
AAPL,2017-07-10,144.11,143.37,145.95,145.06,21090636
AAPL,2017-07-11,144.73,144.38,145.85,145.53,19781836
AAPL,2017-07-12,145.87,144.82,146.18,145.74,24884478
AAPL,2017-07-13,145.5,145.44,148.49,147.77,25199373
AAPL,2017-07-14,147.97,147.33,149.33,149.04,20132061
AAPL,2017-07-17,148.82,148.57,150.9,149.56,23793456
AAPL,2017-07-18,149.2,148.67,150.13,150.08,17868792
AAPL,2017-07-19,150.48,149.95,151.42,151.02,20922969
AAPL,2017-07-20,151.5,150.19,151.74,150.34,17243748
AAPL,2017-07-21,149.99,148.88,150.44,150.27,26252630
AAPL,2017-07-24,150.58,149.9,152.44,152.09,21493160
AAPL,2017-07-25,151.8,151.8,153.84,152.74,18853932
AAPL,2017-07-26,153.35,153.06,153.93,153.46,15780951
AAPL,2017-07-27,153.75,147.3,153.99,150.56,32476337
AAPL,2017-07-28,149.89,149.19,150.23,149.5,17213653
AAPL,2017-07-31,149.9,148.13,150.33,148.73,19845920
AAPL,2017-08-01,149.1,148.41,150.22,150.05,35368645
AAPL,2017-08-02,159.28,156.16,159.75,157.14,69936800
AAPL,2017-08-03,157.05,155.02,157.21,155.57,27097296
AAPL,2017-08-04,156.07,155.69,157.4,156.39,20559852
AAPL,2017-08-07,157.06,156.6701,158.92,158.81,21870321
AAPL,2017-08-08,158.6,158.27,161.83,160.08,36205896
AAPL,2017-08-09,159.26,159.11,161.27,161.06,26131530
AAPL,2017-08-10,159.9,154.63,160.0,155.32,40804273
AAPL,2017-08-11,156.6,156.07,158.5728,157.48,26257096
AAPL,2017-08-14,159.32,158.75,160.21,159.85,22122734
AAPL,2017-08-15,160.66,160.14,162.195,161.6,29465487
AAPL,2017-08-16,161.94,160.15,162.51,160.95,27671612
AAPL,2017-08-17,160.52,157.84,160.71,157.86,27940565
AAPL,2017-08-18,157.86,156.72,159.5,157.5,27428069
AAPL,2017-08-21,157.5,155.1101,157.89,157.21,26368528
AAPL,2017-08-22,158.23,158.02,160.0,159.78,21604585
AAPL,2017-08-23,159.07,158.88,160.47,159.98,19399081
AAPL,2017-08-24,160.43,158.55,160.74,159.27,19818918
AAPL,2017-08-25,159.65,159.27,160.56,159.86,25480063
AAPL,2017-08-28,160.14,159.93,162.0,161.47,25965972
AAPL,2017-08-29,160.1,160.0,163.12,162.91,29516910
AAPL,2017-08-30,163.8,162.61,163.89,163.35,27269584
AAPL,2017-08-31,163.64,163.48,164.52,164.0,26785096
AAPL,2017-09-01,164.8,163.63,164.94,164.05,16591051
AAPL,2017-09-04,164.05,164.05,164.05,164.05,0
AAPL,2017-09-05,163.75,160.56,164.25,162.08,29536314
AAPL,2017-09-06,162.71,160.52,162.99,161.91,21651726
AAPL,2017-09-07,162.09,160.36,162.24,161.26,21928502
AAPL,2017-09-08,160.86,158.53,161.15,158.63,28611535
AAPL,2017-09-11,160.5,159.89,162.05,161.5,31580798
AAPL,2017-09-12,162.61,158.77,163.96,160.86,71714046
AAPL,2017-09-13,159.87,157.91,159.96,159.65,44907361
AAPL,2017-09-14,158.99,158.09,159.4,158.28,23760749
